,NAME,POPULATION,MALE,FEMALE
0,Mumbai Suburban,9356962.0,5031323.0,4325639.0
1,Bangalore,8749944.0,4558405.0,4191539.0
2,Thane,8514678.0,4564942.0,3949736.0
3,Ahmadabad,6063047.0,3192468.0,2870579.0
4,Pune,5751182.0,3020665.0,2730517.0
5,North Twenty Four Parganas,5732162.0,2922835.0,2809327.0
6,Surat,4849213.0,2762164.0,2087049.0
7,Chennai,4646732.0,2335844.0,2310888.0
8,Kolkata,4496694.0,2356766.0,2139928.0
9,Hyderabad,3943323.0,2018575.0,1924748.0
10,Rangareddy,3719172.0,1899995.0,1819177.0
11,Jaipur,3471847.0,1825583.0,1646264.0
12,North West,3442589.0,1845242.0,1597347.0
13,Nagpur,3178759.0,1626618.0,1552141.0
14,Ghaziabad,3162547.0,1680612.0,1481935.0
15,Mumbai,3085411.0,1684608.0,1400803.0
16,Barddhaman ,3078299.0,1593102.0,1485197.0
17,Haora ,3074144.0,1591300.0,1482844.0
18,Lucknow,3038996.0,1580724.0,1458272.0
19,Kanpur Nagar,3015645.0,1622546.0,1393099.0
20,South,2719736.0,1460609.0,1259127.0
21,Coimbatore,2618940.0,1310265.0,1308675.0
22,Nashik,2597373.0,1352474.0,1244899.0
23,Kancheepuram,2538336.0,1277979.0,1260357.0
24,West,2536823.0,1352885.0,1183938.0
25,Patna,2514590.0,1332487.0,1182103.0
26,Thiruvallur,2428395.0,1225600.0,1202795.0
27,Indore,2427709.0,1262872.0,1164837.0
28,Ernakulam,2234363.0,1101047.0,1133316.0
29,North East,2220097.0,1176707.0,1043390.0
30,Rajkot,2214050.0,1158181.0,1055869.0
31,South West,2149282.0,1168704.0,980578.0
32,Hugli ,2128499.0,1091708.0,1036791.0
33,Thrissur,2096406.0,992460.0,1103946.0
34,South Twenty Four Parganas,2087773.0,1064559.0,1023214.0
35,Kozhikode,2072572.0,986158.0,1086414.0
36,Ludhiana,2069708.0,1114372.0,955336.0
37,Vadodara,2065771.0,1075793.0,989978.0
38,Visakhapatnam,2035922.0,1025676.0,1010246.0
39,Agra,2024195.0,1079769.0,944426.0
40,Bhopal,1917051.0,998105.0,918946.0
41,Madurai,1846801.0,925228.0,921573.0
42,Krishna,1843660.0,923841.0,919819.0
43,Malappuram,1817211.0,865020.0,952191.0
44,Salem,1774122.0,898297.0,875825.0
45,Thiruvananthapuram,1771596.0,856814.0,914782.0
46,Meerut,1759182.0,930823.0,828359.0
47,East,1705816.0,905639.0,800177.0
48,Vellore,1701987.0,844587.0,857400.0
49,Guntur,1652738.0,819030.0,833708.0
50,Kannur,1640986.0,755764.0,885222.0
51,Varanasi,1597051.0,845331.0,751720.0
52,Moradabad,1573623.0,823164.0,750459.0
53,Bareilly,1568409.0,827309.0,741100.0
54,Dhanbad,1560394.0,824000.0,736394.0
55,Kanniyakumari,1539802.0,761407.0,778395.0
56,Tiruppur,1521111.0,766850.0,754261.0
57,Tirunelveli ,1520229.0,752184.0,768045.0
58,Raipur,1483289.0,759619.0,723670.0
59,Allahabad,1472873.0,790848.0,682025.0
60,Jabalpur,1440034.0,750247.0,689787.0
61,Nadia ,1438873.0,732656.0,706217.0
62,Faridabad,1438855.0,768007.0,670848.0
63,Murshidabad ,1400692.0,709742.0,690950.0
64,Solapur,1399091.0,709509.0,689582.0
65,Jalgaon,1342711.0,696851.0,645860.0
66,Tiruchirappalli,1338033.0,663732.0,674301.0
67,Amritsar ,1334611.0,711142.0,623469.0
68,East Godavari,1313972.0,647395.0,666577.0
69,Durg,1284765.0,655949.0,628816.0
70,Purbi Singhbhum,1274591.0,662404.0,612187.0
71,Gwalior,1273792.0,680978.0,592814.0
72,Jodhpur,1264614.0,663600.0,601014.0
73,Ranchi,1257335.0,654409.0,602926.0
74,Mysore,1245413.0,624100.0,621313.0
75,Chittoor,1231386.0,616152.0,615234.0
76,Kolhapur,1230009.0,631843.0,598166.0
77,Srinagar,1219516.0,642208.0,577308.0
78,Aligarh,1217191.0,643073.0,574118.0
79,Belgaum,1211195.0,611969.0,599226.0
