,NAME,POPULATION
15,MAHARASHTRA,50818259.0
2,UTTAR PRADESH,44495063.0
4,TAMIL NADU,34917440.0
0,WEST BENGAL,29093002.0
33,ANDHRA PRADESH,28219075.0
24,GUJARAT,25745083.0
19,KARNATAKA,23625962.0
16,MADHYA PRADESH,20069405.0
6,RAJASTHAN,17048085.0
10,NCT OF DELHI,16368899.0
18,KERALA,15934926.0
30,BIHAR,11758016.0
7,PUNJAB,10399146.0
285,Mumbai Suburban,9356962.0
23,HARYANA,8842103.0
625,Bangalore,8749944.0
102,Thane,8514678.0
20,JHARKHAND,7933061.0
9,ODISHA,7003656.0
668,Ahmadabad,6063047.0
28,CHHATTISGARH,5937237.0
215,Pune,5751182.0
249,North Twenty Four Parganas,5732162.0
110,Surat,4849213.0
562,Chennai,4646732.0
356,Kolkata,4496694.0
31,ASSAM,4398542.0
444,Hyderabad,3943323.0
192,Rangareddy,3719172.0
436,Jaipur,3471847.0
248,North West,3442589.0
21,JAMMU & KASHMIR,3433242.0
274,Nagpur,3178759.0
476,Ghaziabad,3162547.0
286,Mumbai,3085411.0
617,Barddhaman ,3078299.0
456,Haora ,3074144.0
1,UTTARAKHAND,3049338.0
324,Lucknow,3038996.0
394,Kanpur Nagar,3015645.0
125,South,2719736.0
550,Coimbatore,2618940.0
263,Nashik,2597373.0
401,Kancheepuram,2538336.0
51,West,2536823.0
228,Patna,2514590.0
97,Thiruvallur,2428395.0
440,Indore,2427709.0
500,Ernakulam,2234363.0
252,North East,2220097.0
202,Rajkot,2214050.0
118,South West,2149282.0
445,Hugli ,2128499.0
92,Thrissur,2096406.0
119,South Twenty Four Parganas,2087773.0
348,Kozhikode,2072572.0
323,Ludhiana,2069708.0
65,Vadodara,2065771.0
57,Visakhapatnam,2035922.0
669,Agra,2024195.0
592,Bhopal,1917051.0
319,Madurai,1846801.0
347,Krishna,1843660.0
309,Malappuram,1817211.0
173,Salem,1774122.0
96,Thiruvananthapuram,1771596.0
